name,usage
valoctocogene roxaparvovec-rvox 2x10exp13 vg/ml intravenous suspension,"This medication is used to treat a certain blood clotting disease (hemophilia A). Hemophilia A is a genetic disorder caused by lack of a certain clotting protein (factor VIII), or caused by clotting proteins that do not work properly. Valoctocogene roxaparvovec is known as gene therapy. It works by helping your body make normal factor VIII. This effect may decrease bleeding problems due to hemophilia A."
valium,"Diazepam is used to treat anxiety, alcohol withdrawal, and seizures. It is also used to relieve muscle spasms and to provide sedation before medical procedures. This medication works by calming the brain and nerves. Diazepam belongs to a class of drugs known as benzodiazepines."
valihist 2 mg-5 mg-325 mg tablet oral decongestants,"This combination medication is used to temporarily treat symptoms caused by the common cold, flu, allergies, or other breathing illnesses (such as sinusitis, bronchitis). Decongestants help relieve stuffy nose, sinus, and ear congestion symptoms. Acetaminophen (APAP) is a non-aspirin pain reliever and fever reducer. Antihistamines help relieve watery eyes, itchy eyes/nose/throat, runny nose, and sneezing.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
valladerm-90 2.5 %-2.5 % topical kit local anesthetics,"This medication contains 2 amide-type local anesthetics, lidocaine and prilocaine. It is used on normal, unbroken skin or on the outer genital area to prevent pain before certain procedures such as inserting a needle, skin grafts, or skin laser surgery. It works by temporarily numbing the skin and surrounding area. Do not use this product in the ears.If this product alone cannot completely numb the area being treated, it may be used to numb the area before a lidocaine injection is given to provide enough pain relief for certain procedures (such as removal of genital warts)."
salicylic acid gel,"This product is used to treat mild to moderate acne. It may be used in combination with other acne treatments. Check with your doctor or pharmacist first before combining acne treatments. Salicylic acid belongs to a class of drugs known as salicylates. When applied to the skin, salicylic acid may work by helping the skin to shed dead cells from the top layer and by decreasing redness and swelling (inflammation). This decreases the number of pimples that form and speeds healing."
salicylic acid liquid,"This medication has 2 types of ingredients (emollient, keratolytic) that work together to treat or prevent dry, rough, scaly, itchy skin (such as that caused by eczema, keratosis, xerosis). Dry skin is caused by a loss of water in the upper layer of the skin. Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil, and dimethicone are common emollients.Lactic acid, salicylic acid, and urea are keratolytics. They increase moisture in the skin by softening/dissolving the horny substance (keratin) holding the top layer of skin cells together. This helps the dead skin cells fall off and helps the skin keep more water in. Higher strengths of urea are used to treat corns, callous, and some nail problems (such as ingrown nails). Urea is also used to help remove dead tissue in some wounds to help wound healing."
"salicylic acid kit, cleanser and cream extended release","Salicylic acid is used on the skin to treat psoriasis and other dry, scaly skin conditions. This medication is also used to help remove dead skin from warts, the palms of the hands, and the soles of the feet. It belongs to the same class of drugs as aspirin (salicylates). This medication should not be used by children younger than 2 years.Salicylic acid causes the skin to shed dead cells from its top layer by increasing the amount of moisture in the skin and dissolving the ""cement"" between the cells. This makes it easier to shed the skin cells, softens the top layer of skin, and decreases scaling and dryness."
salicylic acid shampoo,"Salicylic acid is used on the skin/scalp to treat psoriasis and other dry, scaly skin conditions. It belongs to the same class of drugs as aspirin (salicylates). This medication should not be used by children younger than 2 years.Salicylic acid causes the skin to shed dead cells from its top layer by increasing the amount of moisture in the skin and dissolving the substance that makes the cells clump together. This effect makes it easier to shed the skin cells, softens the top layer of skin, and decreases scaling and dryness."
salicylic acid film-forming liquid with applicator,"This medication is used on the skin to treat common skin and foot (plantar) warts. Salicylic acid helps cause the wart to gradually peel off. This medication is also used to help remove corns and calluses. This product should not be used on the face or on moles, birthmarks, warts with hair growing from them, or genital/anal warts.Salicylic acid is a keratolytic. It belongs to the same class of drugs as aspirin (salicylates). It works by increasing the amount of moisture in the skin and dissolving the substance that causes the skin cells to stick together. This makes it easier to shed the skin cells. Warts are caused by a virus. Salicylic acid does not affect the virus."
salicylic acid foam,"Salicylic acid is used on the skin to treat psoriasis and other dry, scaly skin conditions. This medication is also used to help remove dead skin from warts, the palms of the hands, and the soles of the feet. It belongs to the same class of drugs as aspirin (salicylates). This medication should not be used by children younger than 2 years.Salicylic acid causes the skin to shed dead cells from its top layer by increasing the amount of moisture in the skin and dissolving the ""cement"" between the cells. This makes it easier to shed the skin cells, softens the top layer of skin, and decreases scaling and dryness."
pantoprazole (protonix),Pantoprazole is used to treat heartburn and certain other conditions caused by too much acid in the stomach.
salicate 10 % topical liquid,"This medication is used on the skin to treat common skin and foot (plantar) warts. Salicylic acid helps cause the wart to gradually peel off. This medication is also used to help remove corns and calluses. This product should not be used on the face or on moles, birthmarks, warts with hair growing from them, or genital/anal warts.Salicylic acid is a keratolytic. It belongs to the same class of drugs as aspirin (salicylates). It works by increasing the amount of moisture in the skin and dissolving the substance that causes the skin cells to stick together. This makes it easier to shed the skin cells. Warts are caused by a virus. Salicylic acid does not affect the virus."
salex shampoo,"Salicylic acid is used on the skin/scalp to treat psoriasis and other dry, scaly skin conditions. It belongs to the same class of drugs as aspirin (salicylates). This medication should not be used by children younger than 2 years.Salicylic acid causes the skin to shed dead cells from its top layer by increasing the amount of moisture in the skin and dissolving the substance that makes the cells clump together. This effect makes it easier to shed the skin cells, softens the top layer of skin, and decreases scaling and dryness."
paragard t 380a 380 square mm intrauterine device devices (iuds),"This product is a small, flexible device that is placed in the womb (uterus) to prevent pregnancy. It is used by people who want a reversible birth control method that works for a long time (up to 10 years). This device helps prevent pregnancy.Using this product does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
panxyme ph 10.2 mg-10 mg-45 mg capsule digestive enzymes,"This medication contains digestive enzymes, which are natural substances needed by the body to help break down and digest food. It is used when the pancreas cannot make or does not release enough digestive enzymes into the gut to digest the food. Depending on the amount of enzymes in your product, it may be used for indigestion, as a supplement, or as replacement therapy (such as in chronic pancreatitis, cystic fibrosis, cancer of the pancreas, after surgery on the pancreas or gut).Some supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details about the brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
panretin gel,"This medication is used to treat skin sores in patients with a certain type of AIDS-related cancer (Kaposi's sarcoma). Alitretinoin belongs to a class of medications called retinoids. It works by affecting the growth of skin cells.This medication should not be used when medications taken by mouth are needed to treat the Kaposi's sarcoma (for example, if you have had more than 10 new skin sores in the previous month, or if the disease affects the lungs or other organs)."
panoxyl cream,"Benzoyl peroxide products are usually used to treat mild to moderate acne. When used to treat acne, benzoyl peroxide works by reducing the amount of acne-causing bacteria and by causing the skin to dry and peel. Some brands are used to treat a certain skin condition called rosacea. Benzoyl peroxide may help to decrease symptoms caused by rosacea, such as pimples and bumps on the face.Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you."
panhematin vial,"This medication is used to treat the symptoms that occur with certain blood disorders (porphyrias). Hemin is not a cure for porphyria. This medication may relieve symptoms such as pain, high blood pressure, rapid heartbeat, or mental changes that may occur during an acute attack of porphyria."
panitumumab solution,This medication is used to treat a certain type of cancer of the colon (large intestine) or rectum. Panitumumab is a man-made protein (monoclonal antibody) that binds to a certain protein (epidermal growth factor receptor-EGFR). It works by slowing or stopping the growth of cancer cells.
pandel cream,"This medication is used to treat a variety of skin conditions (such as eczema, dermatitis, allergies, rash). Hydrocortisone probutate reduces the swelling, itching, and redness that can occur in these types of conditions. This medication is a medium-strength corticosteroid. Do not use this medication to treat diaper rash."
pantoprazole 80 mg/100 ml (0.8 mg/ml) in 0.9 % sod chlor iv piggyback peptic ulcer agents,"Pantoprazole is used to treat certain stomach and esophagus problems (such as acid reflux). It works by decreasing the amount of acid your stomach makes. This medication relieves symptoms such as heartburn, difficulty swallowing, and cough. It helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent cancer of the esophagus. Pantoprazole belongs to a class of drugs known as proton pump inhibitors (PPIs).The injection form of this drug is used for a short time when you cannot take the medication by mouth. When possible, your doctor should switch you to the form that is taken by mouth."
pancreaze,"This medication contains digestive enzymes to help break down and digest fats, starch, and proteins in food. It is used in conditions where the pancreas cannot make or does not release enough digestive enzymes into the small intestines to digest the food (conditions such as chronic pancreatitis, cystic fibrosis, cancer of the pancreas, post-pancreatectomy, post-gastrointestinal bypass surgery)."
panax ginseng 300 mg tablet,"Ginseng has been used for improving overall health. It has also been used to strengthen the immune system and help fight off stress and disease. There are different types of ginseng. Asian ginseng (from Chinese and Korean sources) has been used for unclear thinking, diabetes, and male erectile dysfunction. American ginseng has been used for diabetes and for reducing the risk of the common cold and flu. Siberian ginseng has been used for reducing the risk of colds and flu, and for reducing the severity of herpes simplex virus type 2 infections.Do not give ginseng to infants because it may cause harm. This product is not recommended for use in children.Some herbal/dietary supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details about the brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
rayos,"Prednisone is used to treat conditions such as arthritis, blood disorders, breathing problems, severe allergies, skin diseases, cancer, eye problems, and immune system disorders. Prednisone belongs to a class of drugs known as corticosteroids. It changes how your body responds to different medical conditions to lessen symptoms such as swelling and allergic-type reactions."
rayasore kit 1 %-10 % topical silver sulfadiazine,"This medication is used with other treatments to help prevent and treat wound infections in patients with serious burns. Silver sulfadiazine works by stopping the growth of bacteria that may infect an open wound. This helps to decrease the risk of the bacteria spreading to surrounding skin, or to the blood where it can cause a serious blood infection (sepsis). Silver sulfadiazine belongs to a class of drugs known as sulfa antibiotics.Silver sulfadiazine must not be used on premature babies or on newborns during the first 2 months of life because of the risk of serious side effects."
rayaldee,"This medication is used to treat people with serious kidney disease whose bodies make too much of a certain natural substance (parathyroid hormone-PTH). High amounts of PTH can affect other minerals in the body (such as calcium, phosphorus) that are needed for strong bones. Calcifediol belongs to a class of drugs known as vitamin D analogs. It works by decreasing PTH and increasing calcium and phosphorus in the body."
"daytrana patch, transdermal 24 hours","This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Methylphenidate belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills."
daytime-nighttime cold-flu,"This combination medication is used to temporarily treat symptoms caused by the common cold, flu, allergies, or other breathing illnesses (such as sinusitis, bronchitis). Dextromethorphan is a cough suppressant that affects a certain part of the brain, reducing the urge to cough. Decongestants help relieve stuffy nose and ear congestion symptoms. Acetaminophen (APAP) is a non-aspirin pain reliever and fever reducer. Antihistamines help relieve watery eyes, itchy eyes/nose/throat, runny nose, and sneezing.This medication is not usually used for ongoing coughs from smoking, asthma, or other long-term breathing problems (such as emphysema), or for coughs with a lot of mucus, unless directed by your doctor.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
daytime cold 5 mg-10 mg-325 mg tablet,"This combination medication is used to temporarily treat cough, stuffy nose, body aches, and other symptoms (such as fever, headache, sore throat) caused by the common cold, flu, or other breathing illnesses (such as sinusitis, bronchitis). Dextromethorphan is a cough suppressant that affects a certain part of the brain (cough center), reducing the urge to cough. Decongestants help to relieve stuffy nose symptoms. This product also contains acetaminophen, a non-aspirin pain reliever and fever reducer.This medication is usually not used for ongoing coughs from smoking, asthma, or other long-term breathing problems (such as emphysema), or for coughs with a lot of mucus, unless directed by your doctor.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
daytime cold & cough,"This combination product is used to temporarily treat cough, fever, and other symptoms (such as headache, sore throat, body aches) that are caused by the common cold, flu, or other breathing illnesses (such as bronchitis). Dextromethorphan is a cough suppressant that affects a certain part of the brain (cough center), reducing the urge to cough. Acetaminophen is a non-aspirin pain reliever and fever reducer.This product is not usually used for ongoing coughs from smoking, asthma, or other long-term breathing problems (such as emphysema), or for coughs with a lot of mucus, unless directed by your doctor.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
daytime cough,"This medication is used for temporary relief of coughs without phlegm that are caused by certain infections of the air passages (such as sinusitis, common cold). This product should not usually be used for an ongoing cough from smoking or long-term breathing problems (such as chronic bronchitis, emphysema) unless directed by your doctor. This product contains dextromethorphan. It is a cough suppressant that works by decreasing the feeling of needing to cough.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
daylogic advanced healing ointment,"This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (such as diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (such as zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (such as from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
dayhist allergy,"Clemastine is an antihistamine used to relieve symptoms of allergy, hay fever, and the common cold. These symptoms include rash, watery eyes, itchy eyes/nose/throat/skin, cough, runny nose, and sneezing. This medication works by blocking a certain natural substance (histamine) that your body makes during an allergic reaction. By blocking another natural substance made by your body (acetylcholine), it helps dry up some body fluids to relieve symptoms such as watery eyes and runny nose.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
"daylogic acne treatment 10 % topical gel keratolytics (topical), general","Benzoyl peroxide products are usually used to treat mild to moderate acne. When used to treat acne, benzoyl peroxide works by reducing the amount of acne-causing bacteria and by causing the skin to dry and peel. Some brands are used to treat a certain skin condition called rosacea. Benzoyl peroxide may help to decrease symptoms caused by rosacea, such as pimples and bumps on the face.Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you."
day-night severe cold-flu 25mg(d)-10mg-20mg(n)-650 mg/30ml oral liquid antitussives,"This combination medication is used to temporarily treat symptoms caused by the common cold, flu, allergies, or other breathing illnesses (such as sinusitis, bronchitis). Dextromethorphan is a cough suppressant that affects a certain part of the brain, reducing the urge to cough. Decongestants help relieve stuffy nose and ear congestion symptoms. Acetaminophen (APAP) is a non-aspirin pain reliever and fever reducer. Antihistamines help relieve watery eyes, itchy eyes/nose/throat, runny nose, and sneezing.This medication is not usually used for ongoing coughs from smoking, asthma, or other long-term breathing problems (such as emphysema), or for coughs with a lot of mucus, unless directed by your doctor.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
lamictal (blue),Lamotrigine is used alone or with other medications to prevent and control seizures. It may also be used to help prevent the extreme mood swings of bipolar disorder in adults.Lamotrigine is known as an anticonvulsant or antiepileptic drug. It is thought to work by restoring the balance of certain natural substances in the brain.This drug is not approved for use in children younger than 2 years due to an increased risk of side effects (such as infections).
lactulose,"This drug is used by mouth or rectally to treat or prevent complications of liver disease (hepatic encephalopathy). It does not cure the problem, but may help to improve mental status. Lactulose is a colonic acidifier that works by decreasing the amount of ammonia in the blood. It is a man-made sugar solution."
"lactulose solution, laxatives",This medication is a laxative used to treat constipation. It may help to increase the number of bowel movements per day and the number of days you have a bowel movement. Lactulose is a colonic acidifier that works by increasing stool water content and softening the stool. It is a man-made sugar solution.
lamictal,Lamotrigine is used alone or with other medications to prevent and control seizures. It may also be used to help prevent the extreme mood swings of bipolar disorder in adults.Lamotrigine is known as an anticonvulsant or antiepileptic drug. It is thought to work by restoring the balance of certain natural substances in the brain.This drug is not approved for use in children younger than 2 years due to an increased risk of side effects (such as infections).
day-time 30 mg-15 mg-325 mg capsule,"This combination medication is used to temporarily treat cough, stuffy nose, body aches, and other symptoms (such as fever, headache, sore throat) caused by the common cold, flu, or other breathing illnesses (such as sinusitis, bronchitis). Dextromethorphan is a cough suppressant that affects a certain part of the brain (cough center), reducing the urge to cough. Decongestants help to relieve stuffy nose symptoms. This product also contains acetaminophen, a non-aspirin pain reliever and fever reducer.This medication is usually not used for ongoing coughs from smoking, asthma, or other long-term breathing problems (such as emphysema), or for coughs with a lot of mucus, unless directed by your doctor.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
lactose fast acting relief,"This product is an enzyme supplement used to help people who have trouble digesting milk and other dairy products (lactose intolerance). Lactose is a type of sugar found in milk products. Lactase enzyme is normally produced by the body to help break down (digest) lactose. Lactose intolerance occurs when the body produces low amounts of lactase enzyme.Lactose intolerance can begin at different ages. Infants are not usually affected, but lactose intolerance can affect children as young as 2. It is very common in adults. One way to treat lactose intolerance is to avoid milk products. However, this can result in a lack of important nutrients and vitamins such as calcium, vitamin D, riboflavin, and protein. Some people use lactose-free milk or milk substitutes such as soy or rice milk. Most people with low lactase enzyme levels can tolerate small amounts of milk products at one time (2-4 ounces) and get symptoms only with larger servings (6 ounces or more). Taking lactase enzyme with milk products as directed can help prevent upset stomach, abdominal bloating/cramping, gas, and diarrhea caused by these products.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
lactobacillus-bifidobacterium-s.thermophilus 3 billion cell capsule,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
lactose fast acting,"This product is an enzyme supplement used to help people who have trouble digesting milk and other dairy products (lactose intolerance). Lactose is a type of sugar found in milk products. Lactase enzyme is normally produced by the body to help break down (digest) lactose. Lactose intolerance occurs when the body produces low amounts of lactase enzyme.Lactose intolerance can begin at different ages. Infants are not usually affected, but lactose intolerance can affect children as young as 2. It is very common in adults. One way to treat lactose intolerance is to avoid milk products. However, this can result in a lack of important nutrients and vitamins such as calcium, vitamin D, riboflavin, and protein. Some people use lactose-free milk or milk substitutes such as soy or rice milk. Most people with low lactase enzyme levels can tolerate small amounts of milk products at one time (2-4 ounces) and get symptoms only with larger servings (6 ounces or more). Taking lactase enzyme with milk products as directed can help prevent upset stomach, abdominal bloating/cramping, gas, and diarrhea caused by these products.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
lactobacillus reuteri-lactobacillus rhamnosus 1 billion cell capsule,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
lactobacillus plantarum 10 billion cell capsule,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
tab-a-vite,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
valerian root,Valerian root has been used for sleep problems (insomnia).Some herbal/dietary supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details about the brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details.
valganciclovir hcl,"Valganciclovir is an anti-viral drug. It is changed in the body to the active form of the drug called ganciclovir. It is used to prevent disease caused by a virus called cytomegalovirus (CMV) in people who have received organ transplants. CMV disease can lead to serious infections in the body, including an infection in the eye, called CMV retinitis, that can cause blindness. Valganciclovir works by slowing the growth of the CMV virus. It helps prevent the spread of infection to other areas of the body.Valganciclovir is also used to treat CMV retinitis in people with advanced HIV disease (AIDS). This medication helps control CMV retinitis and decrease the risk of blindness.Valganciclovir is not a cure for CMV disease. Some people may have worsening CMV retinitis even with treatment. It is important to have your eyes checked regularly by your doctor."
valerian,Valerian root has been used for sleep problems (insomnia).Some herbal/dietary supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details about the brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details.
valcyte,"Valganciclovir is an anti-viral drug. It is changed in the body to the active form of the drug called ganciclovir. It is used to prevent disease caused by a virus called cytomegalovirus (CMV) in people who have received organ transplants. CMV disease can lead to serious infections in the body, including an infection in the eye, called CMV retinitis, that can cause blindness. Valganciclovir works by slowing the growth of the CMV virus. It helps prevent the spread of infection to other areas of the body.Valganciclovir is also used to treat CMV retinitis in people with advanced HIV disease (AIDS). This medication helps control CMV retinitis and decrease the risk of blindness.Valganciclovir is not a cure for CMV disease. Some people may have worsening CMV retinitis even with treatment. It is important to have your eyes checked regularly by your doctor."
valchlor gel,This medication is used on the skin to treat a certain type of cancer (cutaneous T-cell lymphoma). Mechlorethamine belongs to a class of drugs known as alkylating agents. It works by slowing or stopping the growth of cancer cells that cause the skin condition.
vabysmo (faricimab),<span>Vabysmo (faricimab) is commonly used for the following conditions.</span>
vadadustat 300 mg tablet,This medication is used to treat anemia (low red blood cell count) in people with long-term serious kidney disease (chronic kidney disease) on kidney dialysis. Vadadustat works by increasing a natural substance in your body (erythropoietin) that signals the bone marrow to make more red blood cells.
vafseo 300 mg tablet erythropoiesis-stimulating agents,This medication is used to treat anemia (low red blood cell count) in people with long-term serious kidney disease (chronic kidney disease) on kidney dialysis. Vadadustat works by increasing a natural substance in your body (erythropoietin) that signals the bone marrow to make more red blood cells.
vagifem tablet,"This medication is a hormone (estrogen). It is used by women to help reduce vaginal symptoms of menopause (such as vaginal dryness/burning/itching). These symptoms are caused by the body making less estrogen. When treating only vaginal symptoms of menopause, products applied directly inside the vagina (such as this medication) should be used first. Estrogens that are taken by mouth, absorbed through the skin, or injected may have greater risks of side effects due to more estrogen being absorbed."
valbenazine capsule,<span>Ingrezza is commonly used for the following conditions.</span>
salagen,"This medication is used to treat symptoms of dry mouth due to a certain immune disease (Sjogren's syndrome) or from saliva gland damage due to radiation treatments of the head/neck for cancer. Pilocarpine belongs to a class of drugs known as cholinergic agonists. It works by stimulating certain nerves to increase the amount of saliva you produce, making it easier and more comfortable to speak and swallow."
